客户ID	公司名称	联系人姓名	联系人头衔	地址	城市	地区	邮政编码	国家	电话	传真
AABBCCD	三川实业有限公司	刘小姐	销售代表	大崇明路 50 号	天津	华北	343567	中国	(030) 30074321	(030) 30765452
ANATR	东南实业	王先生	物主	承德西路 80 号	天津	华北	234575	中国	(030) 35554729	(030) 35553744
ANTON	坦森行贸易	王炫皓	物主	黄台北路 780 号	石家庄	华北	985060	中国	(0321) 5553932	
AROUT	国顶有限公司	方先生	销售代表	天府东街 30 号	深圳	华南	890879	中国	(0571) 45557788	(0571) 45556750
BERGS	通恒机械	黄小姐	采购员	东园西甲 30 号	南京	华东	798089	中国	(0921) 9123465	(0921) 55123467
BLAUS	森通	王先生	销售代表	常保阁东 80 号	天津	华北	787045	中国	(030) 30058460	(030)  33008924
BLONP	国皓	黄雅玲	市场经理	广发北路 10 号	大连	东北	565479	中国	(0671) 88601531	(0671) 88601532
BOLID	迈多贸易	陈先生	物主	临翠大街 80 号	西安	西北	907987	中国	(091) 85552282	(091) 85559199
BONAP	祥通	刘先生	物主	花园东街 90 号	重庆	西南	567690	中国	(078) 91244540	(078) 91244541
BOTTM	广通	王先生	结算经理	平谷嘉石大街 38 号	重庆	西南	808059	中国	(078) 95554729	(078) 95553745
BSBEV	光明杂志	谢丽秋	销售代表	黄石路 50 号	深圳	华南	760908	中国	(0571) 45551212	
CACTU	威航货运有限公司	刘先生	销售代理	经七纬二路 13 号	大连	东北	120412	中国	(061) 11355555	(061) 11354892
CENTC	三捷实业	王先生	市场经理	英雄山路 84 号	大连	东北	130083	中国	(061) 15553392	(061) 15557293
CHOPS	浩天旅行社	方先生	物主	白广路 314 号	天津	华北	234254	中国	(030) 30076545	
COMMI	同恒	刘先生	销售员	七一路 37 号	天津	华北	453466	中国	(030) 35557647	
CONSH	万海	林小姐	销售代表	劳动路 23 号	厦门	华南	353467	中国	(071) 45552282	(071) 45559199
DRACD	世邦	黎先生	采购员	光明东路 395 号	海口	华南	454748	中国	(0241) 10391231	(0241) 10594282
DUMON	迈策船舶	王俊元	物主	沉香街 329 号	常州	华东	565474	中国	(056) 40678888	(056) 40678989
EASTC	中通	林小姐	销售代理	光复北路 895 号	天津	华北	809784	中国	(030) 35550297	(030) 35553373
ERNSH	正人资源	谢小姐	销售经理	临江东街 62 号	深圳	华南	906853	中国	(0571) 76753425	(0571) 76753426
FAMIA	红阳事业	王先生	市场助理	外滩西路 238 号	深圳	华南	687759	中国	(0571) 75559857	
FISSA	嘉元实业	刘小姐	结算经理	东湖大街 28 号	天津	华北	458965	中国	(091) 25559444	(091) 25555593
FOLIG	嘉业	刘先生	助理销售代理	经三纬二路 8 号	石家庄	华北	576906	中国	(0321) 20161016	(0321) 20161017
FOLKO	五洲信托	苏先生	物主	沿江北路 942 号	南京	华东	876060	中国	(087) 69534671	
FRANK	友恒信托	余小姐	市场经理	经二路 9 号	秦皇岛	华北	500798	中国	(089) 3877310	(089) 3877451
FRANR	国银贸易	余小姐	市场经理	辅城街 42 号	南京	华东	546590	中国	(087) 40322121	(087) 40322120
FRANS	文成	唐小姐	销售代表	临江街 32 号	常州	华东	820097	中国	(056) 34988260	(056) 34988261
FURIB	康浦	王先生	销售经理	授业路 361 号	南京	华东	964532	中国	(087) 43542534	(087) 43542535
